id,sex,generation
DO-3,M,30
DO-8,M,30
DO-12,M,30
DO-13,M,30
DO-15,M,30
DO-18,M,30
DO-19,M,30
DO-21,M,30
DO-22,M,30
DO-23,M,30
DO-24,M,30
DO-25,M,30
DO-28,M,30
DO-30,M,30
DO-38,M,30
DO-45,M,30
DO-46,M,30
DO-47,M,30
DO-49,F,30
DO-51,F,30
DO-52,F,30
DO-53,F,30
DO-54,F,30
DO-55,F,30
DO-56,F,30
DO-59,F,30
DO-63,F,30
DO-65,F,30
DO-66,F,30
DO-67,F,30
DO-68,F,30
DO-70,F,30
DO-71,F,30
DO-72,F,30
DO-73,F,30
DO-75,F,30
DO-78,F,30
DO-79,F,30
DO-80,F,30
DO-84,F,30
DO-89,F,30
DO-90,F,30
DO-92,F,30
DO-93,F,30
DO-94,F,30
DO-95,F,30
DO-97,F,30
DO-98,F,30
DO-1,M,30
DO-2,M,30
DO-4,M,30
DO-9,M,30
DO-17,M,30
DO-27,M,30
DO-32,M,30
DO-33,M,30
DO-34,M,30
DO-36,M,30
DO-41,M,30
DO-42,M,30
DO-50,F,30
DO-57,F,30
DO-62,F,30
DO-74,F,30
DO-76,F,30
DO-77,F,30
DO-81,F,30
DO-83,F,30
DO-85,F,30
DO-87,F,30
DO-91,F,30
DO-5,M,30
DO-6,M,30
DO-7,M,30
DO-10,M,30
DO-11,M,30
DO-14,M,30
DO-16,M,30
DO-20,M,30
DO-29,M,30
DO-31,M,30
DO-35,M,30
DO-39,M,30
DO-44,M,30
DO-48,M,30
DO-60,F,30
DO-61,F,30
DO-64,F,30
DO-69,F,30
DO-82,F,30
DO-86,F,30
DO-88,F,30
DO-96,F,30
101,M,32
103,M,32
104,M,32
107,M,32
109,M,32
111,M,32
114,M,32
115,M,32
116,M,32
117,M,32
118,M,32
121,M,32
123,M,32
125,M,32
126,M,32
128,M,32
129,M,32
130,M,32
131,M,32
133,M,32
134,M,32
136,M,32
137,M,32
140,M,32
141,M,32
142,M,32
143,M,32
144,M,32
145,M,32
148,M,32
149,M,32
150,M,32
151,M,32
155,M,32
156,M,32
157,M,32
158,M,32
159,M,32
160,M,32
163,F,32
164,F,32
165,F,32
166,F,32
168,F,32
169,F,32
171,F,32
172,F,32
173,F,32
174,F,32
175,F,32
178,F,32
179,F,32
180,F,32
181,F,32
182,F,32
184,F,32
185,F,32
186,F,32
187,F,32
188,F,32
189,F,32
192,F,32
193,F,32
194,F,32
195,F,32
196,F,32
198,F,32
199,F,32
200,F,32
201,F,32
202,F,32
204,F,32
205,F,32
206,F,32
207,F,32
208,F,32
209,F,32
211,F,32
212,F,32
214,F,32
215,F,32
216,F,32
217,F,32
218,F,32
219,F,32
220,F,32
99,M,32
102,M,32
105,M,32
110,M,32
113,M,32
124,M,32
127,M,32
132,M,32
135,M,32
138,M,32
139,M,32
146,M,32
147,M,32
152,M,32
153,M,32
154,M,32
161,F,32
167,F,32
170,F,32
177,F,32
183,F,32
190,F,32
203,F,32
213,F,32
106,M,32
119,M,32
122,M,32
162,F,32
176,F,32
197,F,32
210,F,32
221,M,35
222,M,35
223,M,35
224,M,35
225,M,35
226,M,35
227,M,35
228,M,35
229,M,35
230,M,35
231,M,35
232,M,35
233,M,35
235,M,35
237,M,35
238,M,35
239,M,35
240,M,35
241,M,35
243,M,35
244,M,35
245,M,35
246,M,35
247,M,35
248,M,35
249,M,35
250,M,35
251,M,35
252,M,35
253,M,35
254,M,35
255,M,35
256,M,35
257,M,35
258,M,35
259,M,35
261,M,35
262,M,35
263,M,35
264,M,35
265,M,35
267,M,35
268,M,35
269,M,35
270,M,35
271,M,35
272,M,35
273,M,35
274,M,35
275,M,35
276,M,35
278,M,35
279,M,35
281,M,35
282,M,35
283,M,35
284,M,35
285,M,35
286,M,35
288,M,35
289,M,35
291,M,35
292,M,35
293,M,35
294,M,35
295,M,35
296,F,35
297,F,35
298,F,35
299,F,35
300,F,35
301,F,35
302,F,35
303,F,35
304,F,35
305,F,35
306,F,35
308,F,35
309,F,35
310,F,35
312,F,35
313,F,35
314,F,35
316,F,35
317,F,35
318,F,35
319,F,35
320,F,35
321,F,35
322,F,35
323,F,35
324,F,35
325,F,35
326,F,35
328,F,35
329,F,35
330,F,35
331,F,35
332,F,35
333,F,35
334,F,35
335,F,35
336,F,35
337,F,35
338,F,35
339,F,35
340,F,35
341,F,35
342,F,35
343,F,35
344,F,35
345,F,35
346,F,35
347,F,35
348,F,35
349,F,35
350,F,35
351,F,35
352,F,35
353,F,35
354,F,35
355,F,35
356,F,35
357,F,35
358,F,35
359,F,35
362,F,35
363,F,35
365,F,35
242,M,35
260,M,35
277,M,35
315,F,35
266,M,35
311,F,35
361,F,35
364,F,35
