# Genetic map for GigaMUGA chromosome 13
# nrow 5279
# ncol 3
marker,chr,pos
UNCHS034896,13,1.759
JAX00348763,13,1.777
CEAJAX00041178,13,1.966
JAX00348792,13,1.97
UNCHS034898,13,1.98
JAX00348795,13,1.981
UNCHS034900,13,1.984
JAX00041181,13,1.986
UNCHS034902,13,1.988
UNCHS034903,13,2.005
JAX00041188,13,2.039
JAX00041188r,13,2.039
JAX00348808,13,2.048
UNC22027003,13,2.062
UNCHS034906,13,2.119
JAX00348836,13,2.167
UNC22029209,13,2.192
UNC22030396,13,2.245
UNCHS034911,13,2.327
UNCHS034912,13,2.329
UNC22032065,13,2.341
JAX00041230,13,2.359
JAX00348883,13,2.361
UNC22034495,13,2.453
JAX00041244,13,2.467
JAX00348925,13,2.535
UNCHS034915,13,2.54
UNCHS034916,13,2.541
ICR515,13,2.548
ICR4515,13,2.55
UNCHS034918,13,2.559
JAX00041256,13,2.56
UNC22037424,13,2.598
ICR4516,13,2.606
JAX00348951,13,2.615
JAX00041266,13,2.62
ICR517,13,2.64
UNC22038441,13,2.648
ICR518,13,2.686
UNC22039308,13,2.693
JAX00348983,13,2.731
JAX00348988,13,2.743
UNC22041230,13,2.744
UNC22042094,13,2.75
ICR521,13,2.75
ICR4521,13,2.75
CEAJAX00041295,13,2.752
ICR523,13,2.765
JAX00349027,13,2.766
JAX00041308,13,2.766
UNC22044642,13,2.77
ICR4523,13,2.771
JAX00349042,13,2.777
UNCHS034919,13,2.777
UNC22045693,13,2.777
UNCHS034920,13,2.777
JAX00349043,13,2.778
UNCHS034922,13,2.779
UNCHS034923,13,2.79
UNCHS034924,13,2.791
UNC22047665,13,2.833
UNCJPD005209,13,2.845
UNC22048757,13,2.872
JAX00349078,13,2.875
UNCHS034929,13,2.9
UNCHS034930,13,2.902
UNC22049635,13,2.904
UNC22051049,13,2.954
UNCHS034931,13,2.965
UNCHS034932,13,2.968
UNCHS034933,13,2.97
UNCHS034934,13,2.973
UNCHS034935,13,2.987
UNCHS034936,13,2.989
UNC22052019,13,2.993
JAX00349155,13,3.007
UNC22053004,13,3.019
UNC22055634,13,3.082
JAX00349213,13,3.094
JAX00349213q,13,3.094
UNC22056198,13,3.096
B6_rs13481676,13,3.115
UNCHS034937,13,3.118
UNCHS034938,13,3.119
JAX00349239,13,3.139
UNC22057850,13,3.139
UNC22058943,13,3.169
UNCHS034939,13,3.176
UNCHS034940,13,3.178
UNC22059899,13,3.192
UNC22061120,13,3.217
UNCHS034941,13,3.224
UNCHS034942,13,3.225
UNC22062604,13,3.252
JAX00041423,13,3.258
UNC22063659,13,3.266
JAX00041424,13,3.269
UNC22064724,13,3.28
JAX00349382,13,3.289
JAX00349390,13,3.294
UNC22066312,13,3.299
UNC22066911,13,3.308
JAX00349403,13,3.315
UNCHS034943,13,3.328
UNCHS034944,13,3.329
UNC22068688,13,3.33
UNCHS034945,13,3.332
UNCHS034946,13,3.333
JAX00349416,13,3.337
UNC22070069,13,3.345
UNC22071058,13,3.361
JAX00349448,13,3.361
UNC22072200,13,3.376
UNC22073765,13,3.391
JAX00041480,13,3.395
UNC22075198,13,3.404
UNCHS034949,13,3.406
UNCHS034950,13,3.407
UNCHS034951,13,3.417
UNC22076691,13,3.418
JAX00349514,13,3.418
JAX00349523,13,3.429
UNC22077608,13,3.431
JAX00349537,13,3.445
UNC22078473,13,3.446
JAX00349547,13,3.456
backupJAX00041510,13,3.459
UNCHS034953,13,3.475
UNCHS034954,13,3.475
UNCHS034955,13,3.48
UNCHS034957,13,3.486
JAX00041525,13,3.488
UNC22082270,13,3.496
UNCHS034961,13,3.505
JAX00041533,13,3.505
UNCHS034962,13,3.506
UNC22084282,13,3.518
UNCHS034963,13,3.522
UNC22085217,13,3.527
JAX00349634,13,3.529
UNC22086689,13,3.541
