# Physical map for GigaMUGA chromosome Y
# nrow 23
# ncol 3
marker,chr,pos
JAX00725015,Y,0.727664
JAX00725023,Y,0.973346
JAX00725024,Y,0.992334
JAX00725068,Y,0.992578
JAX00725028,Y,0.99327
JAX00725029,Y,0.993761
JAX00725030,Y,0.994094
JAX00725069,Y,0.994489
JAX00725070,Y,0.99458
JAX00725031,Y,0.994627
JAX00725032,Y,1.029583
JAX00725071,Y,1.042487
JAX00725036,Y,1.22476
JAX00725041,Y,1.339798
JAX00725078,Y,1.446671
JAX00725043,Y,1.448962
JAX00725081,Y,2.001026
JAX00725048,Y,2.267638
JAX00725049,Y,2.273928
JAX00725083,Y,2.277559
JAX00725085,Y,2.353796
JAX00725087,Y,2.385679
JAX00725057,Y,2.73933
