# Genetic map for GigaMUGA chromosome X
# nrow 3984
# ncol 3
marker,chr,pos
JAX00708539,X,2.485
JAX00708539r,X,2.485
UNCHS048190,X,2.503
JAX00708544,X,2.504
JAX00176643,X,2.506
UNC200000454,X,2.507
JAX00176646,X,2.558
JAX00708563,X,2.633
JAX00708563r,X,2.633
JAX00708567,X,2.649
JAX00708578,X,2.698
JAX00176671,X,2.717
JAX00708583,X,2.724
UNCHS048192,X,2.74
JAX00176676,X,2.758
JAX00708591,X,2.764
JAX00176680,X,2.772
JAX00176681,X,2.772
UNC30610687,X,2.851
UNC30610936,X,2.868
UNCHS048193,X,2.876
JAX00708618,X,2.877
JAX00176698,X,2.881
UNC30611222,X,2.887
JAX00708628,X,2.896
JAX00708630,X,2.902
JAX00708630r,X,2.902
UNC30611560,X,2.903
UNCHS048195,X,2.907
UNCHS048196,X,2.909
UNC30611835,X,2.919
JAX00176704,X,2.923
UNC30612242,X,2.94
UNCHS048197,X,2.972
UNC30612732,X,2.973
UNCHS048198,X,2.975
UNCHS048199,X,2.977
UNCHS048201,X,2.978
UNCHS048200,X,2.979
UNCHS048202,X,2.979
JAX00176716,X,2.991
UNCHS048204,X,2.995
JAX00708647,X,2.998
UNCHS048205,X,3.001
UNCHS048206,X,3.002
UNC30613121,X,3.007
JAX00708653,X,3.015
JAX00708655,X,3.015
JAX00708656,X,3.015
JAX00708668,X,3.042
UNC30613748,X,3.046
UNC30613972,X,3.061
UNC30614256,X,3.076
JAX00708680,X,3.08
UNC30614439,X,3.09
UNC30614443,X,3.113
JAX00708681,X,3.119
UNCHS048210,X,3.123
UNC30614651,X,3.127
UNC30615033,X,3.148
JAX00708697,X,3.156
UNCHS048211,X,3.157
UNCHS048212,X,3.159
UNC30615269,X,3.159
UNCHS048213,X,3.193
UNCHS048214,X,3.195
UNC30615721,X,3.198
JAX00176747,X,3.199
JAX00708711,X,3.228
JAX00708711r,X,3.228
UNCHS048215,X,3.242
UNC30616738,X,3.251
UNC30616923,X,3.262
JAX00176764,X,3.288
UNC30617733,X,3.302
UNC30618178,X,3.321
JAX00176768,X,3.322
UNCHS048217,X,3.326
UNC30618375,X,3.332
UNC30618429,X,3.335
UNCHS048219,X,3.335
UNCHS048220,X,3.337
UNC30618581,X,3.344
UNC30618863,X,3.364
JAX00176775,X,3.365
UNC30619041,X,3.375
JAX00708748,X,3.378
JAX00708750,X,3.379
JAX00708750q,X,3.379
UNC30619220,X,3.387
JAX00708760,X,3.404
UNC30619621,X,3.404
UNC30620013,X,3.419
UNC30620339,X,3.432
JAX00176788,X,3.437
UNCHS048221,X,3.442
UNC30620787,X,3.449
UNC30621040,X,3.462
JAX00708789,X,3.469
UNC30621363,X,3.479
UNC30621909,X,3.509
UNC30622200,X,3.524
UNC30622505,X,3.54
UNC30623235,X,3.586
JAX00708820,X,3.598
UNC30623418,X,3.598
JAX00708821,X,3.599
UNC30623801,X,3.615
JAX00176819,X,3.628
UNCHS048224,X,3.652
UNC30624751,X,3.659
UNC30625209,X,3.688
JAX00176828,X,3.693
UNC30625391,X,3.697
JAX00708849,X,3.722
JAX00708851,X,3.724
UNC30626136,X,3.733
UNC30626502,X,3.754
UNC30626663,X,3.765
UNCHS048225,X,3.777
JAX00176860,X,3.877
UNC30627439,X,3.895
JAX00176890,X,4.057
JAX00708930,X,4.057
JAX00708931,X,4.062
JAX00708932,X,4.062
JAX00708946,X,4.139
UNC30629851,X,4.154
JAX00708954,X,4.166
UNCHS048229,X,4.167
UNCHS048230,X,4.168
JAX00176908,X,4.172
UNC30630586,X,4.182
UNCHS048233,X,4.206
JAX00708966,X,4.206
JAX00708967,X,4.207
JAX00708968,X,4.209
JAX00708968r,X,4.209
UNC30631685,X,4.219
UNCHS048236,X,4.241
JAX00708991,X,4.284
JAX00176930,X,4.302
JAX00709000,X,4.31
UNCHS048237,X,4.333
UNCHS047602,X,4.335
JAX00709012,X,4.387
JAX00176943,X,4.431
JAX00176944,X,4.446
JAX00709032,X,4.516
UNC30634815,X,4.517
JAX00709034,X,4.538
UNCHS048239,X,4.55
JAX00176957,X,4.551
UNCHS048240,X,4.552
UNC30635548,X,4.552
JAX00709038,X,4.555
JAX00709041,X,4.559
UNC_rs50627251,X,4.591
JAX00709051,X,4.605
JAX00709051r,X,4.605
JAX00176974,X,4.623
JAX00709061,X,4.634
JAX00709065,X,4.642
JAX00176979,X,4.643
JAX00709066,X,4.645
JAX00176982,X,4.659
JAX00176982q,X,4.659
UNCHS048241,X,4.667
JAX00709076,X,4.669
JAX00709076r,X,4.669
UNCHS048243,X,4.673
UNCHS048244,X,4.673
UNC30638980,X,4.677
UNCHS048246,X,4.68
backupUNC200004813,X,4.721
JAX00176996,X,4.721
JAX00709094,X,4.721
JAX00176999,X,4.729
JAX00709104,X,4.743
UNC30641410,X,4.79
UNCHS048247,X,4.859
UNCHS048248,X,4.865
JAX00709117,X,4.943
JAX00709118,X,4.944
JAX00177011,X,4.976
JAX00709121,X,4.978
UNCHS048249,X,5
UNCHS048250,X,5.019
UNC30642287,X,5.053
UNC30642514,X,5.107
JAX00709125,X,5.114
UNC30642753,X,5.168
UNCHS048251,X,5.202
UNCHS048252,X,5.21
UNC30642921,X,5.223
UNC30643162,X,5.275
UNCHS048254,X,5.295
UNCHS048256,X,5.37
JAX00709135,X,5.378
backupUNC200249354,X,5.396
UNC30643849,X,5.431
UNC30643986,X,5.455
UNC30644141,X,5.48
UNC30644302,X,5.509
UNCHS048257,X,5.521
UNC30644851,X,5.576
JAX00709157,X,5.582
UNC30645093,X,5.599
JAX00177039,X,5.601
JAX00709164,X,5.636
JAX00177043,X,5.651
UNC30645640,X,5.667
UNC30645817,X,5.698
UNCHS048260,X,5.699
UNC30645925,X,5.711
UNC30646217,X,5.739
JAX00177052,X,5.774
UNC30646629,X,5.797
UNC30646731,X,5.814
UNC30647009,X,5.841
UNC30647206,X,5.863
UNC30647370,X,5.889
UNCHS048261,X,5.907
JAX00177059,X,5.911
JAX00177060,X,5.911
UNC30647623,X,5.916
JAX00709197,X,5.921
UNCHS048264,X,5.933
UNC30647814,X,5.937
UNC30648078,X,5.961
JAX00709206,X,5.972
UNC30648264,X,5.98
UNC30648327,X,5.986
UNC30648386,X,5.992
UNCHS048265,X,5.992
UNCHS048266,X,5.996
UNC30648539,X,6.005
UNC30648622,X,6.015
UNCHS048267,X,6.027
UNC30648744,X,6.03
UNCHS048268,X,6.03
UNC30648920,X,6.08
UNC30649018,X,6.093
UNC30649084,X,6.105
UNC30649204,X,6.117
JAX00177076,X,6.12
UNC30649376,X,6.141
UNC30649432,X,6.149
UNC30649553,X,6.166
UNC30649629,X,6.178
UNC30649708,X,6.19
UNC30649860,X,6.214
UNC30649957,X,6.227
UNC30650037,X,6.243
JAX00177083,X,6.25
JAX00709239,X,6.27
UNC30650252,X,6.279
UNC30650530,X,6.336
UNC30650934,X,6.392
JAX00177096,X,6.423
UNC30651348,X,6.446
UNCHS048269,X,6.482
JAX00709268,X,6.493
backupJAX00709270,X,6.496
JAX00709270,X,6.496
JAX00709277,X,6.537
UNC30652398,X,6.559
JAX00709284,X,6.576
JAX00177107,X,6.596
JAX00177107r,X,6.596
UNCHS048271,X,6.633
UNCHS048273,X,6.634
UNCHS048272,X,6.636
UNCHS048274,X,6.64
UNC30653309,X,6.661
UNC30653765,X,6.718
UNC30654286,X,6.767
JAX00709312,X,6.853
UNCHS048275,X,6.878
UNCHS048276,X,6.881
UNC30655107,X,6.881
UNC30655403,X,6.927
JAX00177134,X,6.988
JAX00177134r,X,6.988
UNC30655795,X,6.993
UNCHS048277,X,7.007
UNC30656262,X,7.058
UNCHS048279,X,7.07
UNCHS048280,X,7.073
UNC30656656,X,7.099
JAX00709340,X,7.112
JAX00709340r,X,7.112
UNCHS048281,X,7.132
UNC30657174,X,7.158
JAX00238592,X,7.173
UNCHS048283,X,7.212
UNC30658252,X,7.269
UNCHS048285,X,7.273
UNCHS048286,X,7.281
UNCHS048287,X,7.302
UNC30658767,X,7.319
UNC30659322,X,7.376
JAX00177165,X,7.42
JAX00709378,X,7.431
JAX00709382,X,7.44
UNC30660255,X,7.466
JAX00709387,X,7.515
JAX00709388,X,7.518
UNC30660941,X,7.541
UNC200319662,X,7.572
JAX00709396,X,7.58
UNCHS048289,X,7.6
UNCHS048290,X,7.605
JAX00709408,X,7.674
JAX00709411,X,7.678
UNC30662406,X,7.706
JAX00709415,X,7.71
UNC30663028,X,7.762
UNCHS048291,X,7.766
UNCHS048292,X,7.776
UNC30663933,X,7.867
JAX00709434,X,7.923
JAX00709435,X,7.928
UNC30664376,X,7.943
JAX00238605,X,7.956
UNC30664552,X,7.98
UNC30664792,X,8.035
UNCHS048293,X,8.047
UNC30664973,X,8.092
JAX00177214,X,8.12
UNC30665419,X,8.144
JAX00709457,X,8.158
UNC30666191,X,8.254
UNC30666893,X,8.311
JAX00177228,X,8.337
JAX00709481,X,8.354
JAX00709485,X,8.378
JAX00238612,X,8.38
UNCHS048297,X,8.427
UNCHS048298,X,8.431
UNCHS048300,X,8.454
UNCHS048302,X,8.473
UNCHS048303,X,8.498
UNCHS048304,X,8.502
UNC30668589,X,8.524
JAX00709502,X,8.535
JAX00709508,X,8.57
JAX00709510,X,8.604
UNC30669207,X,8.63
JAX00709515,X,8.641
UNCHS048305,X,8.668
UNCHS048306,X,8.672
JAX00177255,X,8.72
JAX00709530,X,8.757
UNCHS048307,X,8.779
UNCHS048308,X,8.784
JAX00709538,X,8.812
UNCHS048309,X,8.832
UNCHS048310,X,8.834
UNCHS048311,X,8.862
JAX00177266,X,8.886
JAX00177267,X,8.887
JAX00177269r,X,8.93
UNC30671235,X,8.955
UNCHS048313,X,8.97
JAX00177275,X,9.02
JAX00177277,X,9.02
UNCHS048315,X,9.058
JAX00709555,X,9.094
JAX00709559,X,9.121
UNC30672748,X,9.176
JAX00177288,X,9.189
JAX00709569,X,9.266
JAX00709571,X,9.267
UNCHS048317,X,9.299
UNC30673331,X,9.301
UNCHS048318,X,9.303
UNCHS048319,X,9.331
JAX00177307,X,9.456
UNC30674102,X,9.468
JAX00709584,X,9.499
JAX00709584r,X,9.499
UNC30674758,X,9.579
UNCHS048322,X,9.64
UNCHS048323,X,9.666
UNCHS048324,X,9.669
UNC30675851,X,9.727
UNCHS048326,X,9.733
JAX00709612,X,9.818
UNC30676681,X,9.828
JAX00177335,X,9.886
UNC30677423,X,9.941
JAX00709622,X,9.958
JAX00709622r,X,9.958
UNCHS048327,X,10.006
JAX00177344,X,10.023
UNC30679070,X,10.132
JAX00177356,X,10.183
JAX00709643,X,10.202
JAX00709653,X,10.331
JAX00709657,X,10.371
JAX00709659,X,10.384
JAX00709661,X,10.424
JAX00709667,X,10.431
JAX00709670,X,10.486
UNC30682052,X,10.486
JAX00177376,X,10.487
UNCHS048329,X,10.525
UNCHS048330,X,10.528
UNC200210623,X,10.643
JAX00709691,X,10.729
JAX00177397,X,10.794
JAX00709697,X,10.795
UNC30684468,X,10.812
UNCHS048332,X,10.844
UNC30685136,X,10.923
UNC30685912,X,11.031
JAX00177415,X,11.055
JAX00177417,X,11.114
JAX00177427,X,11.224
UNC30687129,X,11.258
JAX00177429,X,11.273
JAX00177440,X,11.394
UNC30688115,X,11.454
JAX00177444,X,11.5
UNCHS048333,X,11.514
UNCHS048334,X,11.517
UNCHS048335,X,11.559
UNC30688469,X,11.563
UNCHS047606,X,11.564
JAX00177448,X,11.567
UNCHS048338,X,11.572
UNC30689278,X,11.691
JAX00177459,X,11.706
JAX00709760,X,11.736
JAX00238656,X,11.751
UNC30689836,X,11.79
JAX00709763,X,11.8
JAX00709763r,X,11.8
JAX00177467,X,11.833
JAX00177468,X,11.833
JAX00709767,X,11.843
UNCHS048339,X,11.85
UNCHS048340,X,11.853
JAX00177469,X,11.874
UNCHS048341,X,11.887
UNCHS048342,X,11.891
UNC30690563,X,11.906
UNCHS048343,X,11.962
UNC30691033,X,11.964
UNCHS048344,X,11.964
UNCHS048346,X,12.006
JAX00177480,X,12.007
JAX00177481,X,12.044
JAX00709794,X,12.109
UNCHS048347,X,12.191
UNCHS048348,X,12.194
UNC30692669,X,12.204
JAX00177498,X,12.279
UNC30693126,X,12.295
JAX00177499,X,12.301
UNC30693454,X,12.342
UNC30693718,X,12.375
UNCHS048349,X,12.412
UNCHS048350,X,12.416
UNC30694158,X,12.424
JAX00709823,X,12.442
UNC30694401,X,12.469
JAX00177511,X,12.472
UNCHS048351,X,12.499
JAX00238672,X,12.506
UNCHS048352,X,12.506
UNC30694645,X,12.51
JAX00177517,X,12.573
UNC30695131,X,12.581
UNC30695507,X,12.642
UNC30695738,X,12.686
JAX00177527,X,12.7
JAX00177527r,X,12.7
UNC30695994,X,12.725
UNC30696306,X,12.768
JAX00177533,X,12.785
